  213161553 function calls (209607226 primitive calls) in 191.802 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.655    0.327 install.py:10(before_install)
        3    0.000    0.000    0.655    0.218 __init__.py:817(reload_doc)
        3    0.000    0.000    0.655    0.218 utils.py:172(reload_doc)
        3    0.000    0.000    0.655    0.218 import_file.py:18(import_files)
        3    0.000    0.000    0.655    0.218 import_file.py:29(import_file)
        1    0.000    0.000    0.652    0.652 xlsxutils.py:3(<module>)
     3385    0.037    0.000    0.646    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      249    0.007    0.000    0.646    0.003 install.py:144(add_country_and_currency)
     4647    0.016    0.000    0.645    0.000 data.py:133(now_datetime)
   802439    0.434    0.000    0.644    0.000 __init__.py:33(__getattr__)
     9744    0.056    0.000    0.643    0.000 __init__.py:183(dumps)
     1179    0.014    0.000    0.637    0.001 redis_wrapper.py:149(hset)
    60695    0.164    0.000    0.634    0.000 redis_wrapper.py:20(make_key)
        1    0.000    0.000    0.633    0.633 utils.py:23(contact_control_central)
  1411676    0.420    0.000    0.619    0.000 meta.py:149(get_table_fields)
      100    0.007    0.000    0.614    0.006 document.py:423(update_single)
        1    0.000    0.000    0.614    0.614 install.py:48(install_basic_docs)
     4647    0.031    0.000    0.610    0.000 data.py:153(convert_utc_to_user_timezone)
     6133    0.013    0.000    0.606    0.000 document.py:453(set_docstatus)
    28307    0.065    0.000    0.603    0.000 connections.py:1111(_read_ok_packet)
   477333    0.358    0.000    0.584    0.000 converters.py:12(escape_item)
     9744    0.073    0.000    0.568    0.000 encoder.py:182(encode)
    56509    0.068    0.000    0.566    0.000 document.py:1046(add_to_return_value)
     6109    0.412    0.000    0.562    0.000 database.py:263(fetch_as_dict)
     1367    0.007    0.000    0.559    0.000 __init__.py:683(reset_metadata_version)
      165    0.024    0.000    0.558    0.003 __init__.py:995(setup_module_map)
   104867    0.318    0.000    0.551    0.000 re.py:273(_compile)
        1    0.000    0.000    0.544    0.544 utils.py:29(register)
      669    0.004    0.000    0.540    0.001 database.py:505(get_singles_dict)
        1    0.000    0.000    0.539    0.539 utils.py:57(do_registration)
    28314    0.271    0.000    0.538    0.000 protocol.py:283(__init__)
   256477    0.421    0.000    0.532    0.000 protocol.py:180(read_struct)
   252638    0.206    0.000    0.529    0.000 connections.py:469(escape_string)
        1427    0.010    0.000    0.529    0.000 global_search.py:365(sync_value_in_queue)
        1    0.000    0.000    0.522    0.522 selling_settings.py:19(validate)
      212    0.001    0.000    0.518    0.002 database.py:704(get_default)
      212    0.001    0.000    0.517    0.002 database.py:720(get_defaults)
        1    0.000    0.000    0.516    0.516 install.py:220(assign_all_role_to_glentry)
      181    0.000    0.000    0.516    0.003 database.py:700(get_global)
        1    0.000    0.000    0.514    0.514 install.py:8(after_install)
    56465    0.502    0.000    0.502    0.000 {method 'search' of 're.Pattern' objects}
    56509    0.096    0.000    0.492    0.000 document.py:808(run_notifications)
     1367    0.011    0.000    0.490    0.000 cache_manager.py:65(clear_document_cache)
    12014    0.231    0.000    0.490    0.000 doctype.py:708(check_unique_fieldname)
        9    0.000    0.000    0.486    0.054 doctype.py:1142(check_if_fieldname_conflicts_with_methods)
     1427    0.006    0.000    0.485    0.000 redis_wrapper.py:131(lpush)
        5    0.000    0.000    0.480    0.096 user.py:95(on_update)
    56334    0.243    0.000    0.469    0.000 database.py:244(check_transaction_status)
     1427    0.004    0.000    0.464    0.000 client.py:1331(lpush)
   200149    0.209    0.000    0.455    0.000 protocol.py:253(description)
  1600816    0.359    0.000    0.453    0.000 base_document.py:122(<genexpr>)
     3638    0.034    0.000    0.452    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     5010    0.028    0.000    0.446    0.000 redis_wrapper.py:168(hget)
     1180    0.003    0.000    0.445    0.000 client.py:1987(hset)
    16995    0.066    0.000    0.438    0.000 __init__.py:140(random_string)
        1    0.000    0.000    0.433    0.433 permission_manager.py:73(add)
        1    0.000    0.000    0.433    0.433 permissions.py:471(add_permission)
    66153    0.144    0.000    0.432    0.000 base_document.py:28(get_controller)
    28789    0.033    0.000    0.432    0.000 base_document.py:298(get_table_field_doctype)
    56509    0.079    0.000    0.430    0.000 __init__.py:10(run_webhooks)
     1999    0.013    0.000    0.416    0.000 __init__.py:1017(get_file_items)
        1    0.000    0.000    0.416    0.416 buying_settings.py:12(validate)
        1    0.000    0.000    0.413    0.413 hr_settings.py:28(on_update)
